run,round,source_id,positive_rec,negative_rec,rec_difference,positive_reward,negative_reward
midasheng_v2,0,random440_deear_008,-3.7357633113861084,-3.7269640445709227,-0.008799266815185725,0.859003630354585,1.422476237347969
midasheng_v2,0,random440_expressivespeech_070,-2.6594998121261595,-2.643450975418091,-0.01604883670806867,2.276683528910548,3.4121370621520937
midasheng_v2,0,random440_expressivespeech_293,-2.96321964263916,-2.959016466140747,-0.004203176498413175,1.9488774008256404,2.330612937710154
midasheng_v2,0,random440_deear_069,-2.505708634853363,-2.5029255509376522,-0.0027830839157108045,2.72852363108666,2.937504894117609
midasheng_v2,0,random440_expressivespeech_129,-3.9738693237304688,-3.975327110290527,0.0014577865600582385,1.1646456250697934,0.5230991068566455
midasheng_v2,0,random440_expressivespeech_123,-2.277802217006683,-2.3396057963371275,0.061803579330444336,4.160671910116906,-1.6188081276267177
midasheng_v2,0,random440_expressivespeech_078,-2.8702930212020874,-2.882713508605957,0.012420487403869807,3.3510615325122037,1.3917288271709713
midasheng_v2,0,random440_expressivespeech_067,-3.2962579011917112,-3.3010950803756716,0.004837179183960316,1.6255177999618218,1.3542366269852444
midasheng_v2,0,random440_deear_033,-3.1745812654495236,-3.1753585577011108,0.0007772922515871805,1.234544048015385,1.7511284603820136
midasheng_v2,0,random440_expressivespeech_301,-3.5128979206085207,-3.5206504106521606,0.00775249004363987,1.382059432848149,0.8015528659766219
midasheng_v2,0,random440_expressivespeech_054,-2.5009390354156493,-2.5040687561035155,0.003129720687866211,3.1129808674556116,2.6308445926452277
midasheng_v2,0,random440_expressivespeech_323,-3.498920202255249,-3.5067215919494625,0.007801389694213512,0.9005517870995566,0.8185408272813263
midasheng_v2,0,random440_expressivespeech_255,-2.8346892833709716,-2.8215813636779785,-0.013107919692993075,2.1666216802601497,2.9948255933800016
midasheng_v2,0,random440_expressivespeech_021,-4.538718891143799,-4.535999393463134,-0.0027194976806645954,-0.29096712210260106,-0.09754374283709671
midasheng_v2,0,random440_deear_095,-2.771314811706543,-2.766154670715332,-0.005160140991211204,1.6661981334888405,2.6675690056869774
midasheng_v2,0,random440_deear_039,-4.994351005554199,-4.994680643081665,0.0003296375274661756,-1.02608730279132,-0.9388008791415445
midasheng_v2,0,random440_expressivespeech_120,-3.2143560409545895,-3.210448145866394,-0.0039078950881954455,1.7076718859740865,1.9404426332789175
midasheng_v2,0,random440_expressivespeech_124,-3.5745994091033935,-3.576342248916626,0.0017428398132324219,1.224063997886653,1.1033732852815274
midasheng_v2,0,random440_expressivespeech_291,-3.554582405090332,-3.5580873489379883,0.0035049438476564276,1.3352838659986626,1.0397141370336578
midasheng_v2,0,random440_expressivespeech_333,-4.125196647644043,-4.133625078201294,0.008428430557250621,0.27883395183503856,-0.164822761633502
midasheng_v2,0,random440_deear_031,-2.5297181844711303,-2.506389284133911,-0.02332890033721924,2.2049645770333774,3.9919993071092024
midasheng_v2,0,random440_expressivespeech_303,-4.736927890777588,-4.74010739326477,0.0031795024871819066,-0.6824673995029993,-0.7061581112941677
midasheng_v2,0,random440_expressivespeech_112,-3.659575843811035,-3.7215515136718746,0.06197566986083958,2.1328376330330707,-3.692912652050566
midasheng_v2,0,random440_deear_055,-3.4652708768844604,-3.449043488502502,-0.016227388381958363,0.6950596001283452,2.2200268004418664
midasheng_v2,0,random440_expressivespeech_251,-3.111060047149658,-3.1185983180999752,0.007538270950317116,1.4523633473014235,1.4176753898385952
midasheng_v2,0,random440_deear_063,-2.9406410217285153,-2.917974758148193,-0.022666263580322088,1.5518145738471874,3.34405725513684
midasheng_v2,0,random440_expressivespeech_263,-3.0685608148574826,-3.0741339921951294,0.00557317733764684,2.3827643563069403,1.6360075388538011
midasheng_v2,0,random440_deear_074,-3.233433246612549,-3.231984257698059,-0.001448988914489746,1.557449614794833,1.7815082805760032
midasheng_v2,0,random440_expressivespeech_008,-3.5482471227645873,-3.5420655488967894,-0.00618157386779794,1.5725035015389466,1.5631926924149964
midasheng_v2,0,random440_expressivespeech_085,-2.5187463760375977,-2.519975411891937,0.001229035854339422,2.6885650065150566,2.7051528660513102
midasheng_v2,0,random440_deear_057,-3.10182638168335,-3.1073717355728148,0.005545353889464977,2.369254422665432,1.588595117810436
midasheng_v2,0,random440_expressivespeech_205,-3.6542663335800167,-3.6955498695373534,0.04128353595733669,1.3932713589169081,-2.0533293600734406
midasheng_v2,0,random440_deear_006,-2.9525890588760375,-2.9615086793899534,0.008919620513915927,2.9835781259854017,1.5450657019620608
midasheng_v2,0,random440_expressivespeech_082,-3.476942539215088,-3.4788428306579586,0.0019002914428707385,1.7382152181113955,1.2406461507106128
midasheng_v2,0,random440_deear_011,-3.451245379447937,-3.4127341508865356,-0.038511228561401545,-0.5576493468377163,3.423471131722088
midasheng_v2,0,random440_expressivespeech_298,-4.739860391616821,-4.737535285949707,-0.00232510566711408,-0.7615444137284133,-0.4184199095396191
midasheng_v2,0,random440_expressivespeech_071,-3.0155645370483395,-3.0234153509140014,0.007850813865661888,1.805218397452758,1.5354352351883014
midasheng_v2,0,random440_expressivespeech_022,-5.926282453536987,-5.926298666000366,1.621246337890625e-05,-2.2578651197862345,-2.3118872903935803
midasheng_v2,0,random440_expressivespeech_099,-3.1677610635757443,-3.2336079597473146,0.06584689617157036,2.9240740394427247,-3.2647696870394904
