version,round,bleu_4,rouge_l,meteor,spider,fense,bertscore,clapscore,para_score,para_parse_rate,style_accuracy,style_gender,style_pitch,style_speaking_speed,style_volume
qwen25_v1,0,1.1506083551092607e-14,0.30248878441180677,0.09793151042186567,0.06217044599451918,0.8034977716630824,0.689919650554657,0.37184276806066047,0.42489373437865985,1.0,0.3978149100257069,0.5462724935732648,0.35732647814910024,0.35218508997429304,0.33547557840616965
qwen25_v1,1,1.1280921936419008e-14,0.304090411924745,0.09883847183962932,0.06259606535150948,0.8038277411813128,0.6898201107978821,0.3720513306299351,0.4264087425575337,1.0,0.39974293059125965,0.5539845758354756,0.35732647814910024,0.3508997429305913,0.33676092544987146
qwen25_v1,2,6.277679938488626e-11,0.3051890713595906,0.09897162797157943,0.06296593624820539,0.7982187721381971,0.6905006766319275,0.371725589222337,0.42571308956112874,1.0,0.4003856041131105,0.5565552699228792,0.3560411311053985,0.35475578406169667,0.3341902313624679
qwen25_v1,3,1.1079739426482797e-14,0.3054302204552412,0.09978529708875576,0.0628838084435176,0.7959141142816973,0.6915087699890137,0.37119368654943735,0.42268218600853175,1.0,0.4023136246786633,0.5578406169665809,0.35989717223650386,0.35475578406169667,0.33676092544987146
qwen25_v1,4,1.0973111413181154e-14,0.30625917728522956,0.09996934977343841,0.06309774187171611,0.7965658818118124,0.6917805671691895,0.37120836019948583,0.42526124674368443,1.0,0.4016709511568123,0.5604113110539846,0.3560411311053985,0.35347043701799485,0.33676092544987146
qwen25_rewardv2,0,1.1311962777507093e-14,0.30350657177018464,0.09815959919823662,0.06243757643453143,0.8045653992733725,0.6904956698417664,0.37249106493189027,0.4255875048284012,1.0,0.40006426735218503,0.5475578406169666,0.36118251928020567,0.35475578406169667,0.33676092544987146
qwen25_rewardv2,1,1.142945717458701e-14,0.30281053015607173,0.09810739227189624,0.062223252107921324,0.8041510358877662,0.6900890469551086,0.37234165564666083,0.42464635345270746,1.0,0.39845758354755784,0.5462724935732648,0.35732647814910024,0.35218508997429304,0.3380462724935733
qwen25_rewardv2,2,1.1459198711125141e-14,0.3027767297693451,0.09813717597880076,0.06233862686103568,0.8038702005361139,0.6896013021469116,0.3718540180047724,0.421699650930043,1.0,0.39910025706940877,0.5552699228791774,0.35989717223650386,0.3496143958868895,0.33161953727506427
qwen25_rewardv2,3,6.303832925964086e-11,0.304393597858679,0.09913752798100973,0.06271191332270848,0.8043452531578258,0.6905009150505066,0.3723037615070818,0.41930621958703196,1.0,0.39910025706940877,0.5552699228791774,0.35347043701799485,0.35347043701799485,0.3341902313624679
qwen25_rewardv2,4,1.1090075086975846e-14,0.30547907363319804,0.09910952543685342,0.06294272129477026,0.8049757686101321,0.6899827718734741,0.37224176996510655,0.4229523728301556,1.0,0.3984575835475578,0.5449871465295629,0.35861182519280205,0.35347043701799485,0.33676092544987146
qwen25_rewardv2,5,1.105804660937613e-14,0.3051925167688045,0.09911585072582844,0.06287576127529344,0.8041507967090656,0.6908825039863586,0.37234705471046975,0.42808804459364674,1.0,0.3981362467866324,0.5475578406169666,0.3560411311053985,0.3508997429305913,0.3380462724935733
qwen25_rewardv2,6,1.1100288335779247e-14,0.30577137705647717,0.09958510222521423,0.06314590699843618,0.8030340103549374,0.6915512681007385,0.37220657595610485,0.4251986159006467,1.0,0.4000642673521851,0.5552699228791774,0.3560411311053985,0.35347043701799485,0.33547557840616965
qwen25_rewardv2,7,1.0983186728222767e-14,0.3063661105635545,0.09954758945125919,0.06327507708731767,0.8022432516435691,0.6927356719970703,0.37228538514635856,0.4204108127451965,1.0,0.4010282776349614,0.5552699228791774,0.35732647814910024,0.35475578406169667,0.33676092544987146
qwen25_rewardv2,8,7.27435684405878e-11,0.30765611357500144,0.10029490775561913,0.06370306524684331,0.8016471813261478,0.6932206153869629,0.37221857694500526,0.4287507598351435,1.0,0.4003856041131105,0.5552699228791774,0.35861182519280205,0.35475578406169667,0.3329048843187661
