round,rank,step,candidate_index,candidate_id,frames,padded,forward_loss_host_seconds,backward_sync_host_seconds,candidate_elapsed_seconds
0,0,0,0,random440_expressivespeech_059::0,62,False,13.412279605865479,15.444031238555908,28.836819164454937
0,0,0,1,random440_expressivespeech_059::1,41,False,6.494091510772705,12.283485412597656,19.00301505252719
0,0,0,2,random440_expressivespeech_059::2,45,False,7.583356142044067,10.126876592636108,17.960238141939044
0,0,0,3,random440_expressivespeech_059::3,41,False,7.269850730895996,11.579997062683105,18.83338465169072
0,0,1,0,random440_expressivespeech_206::0,115,False,23.880823612213135,28.51398777961731,52.37667557783425
0,0,1,1,random440_expressivespeech_206::1,144,False,25.735684156417847,37.030641078948975,62.75952730514109
0,0,1,2,random440_expressivespeech_206::2,134,False,24.018710374832153,34.084810972213745,58.70451460406184
0,0,1,3,random440_expressivespeech_206::3,140,False,24.711442470550537,43.41153573989868,68.66786063276231
0,0,2,0,random440_deear_036::0,17,False,2.5530147552490234,3.6982338428497314,6.232184996828437
0,0,2,1,random440_deear_036::1,16,False,3.324105978012085,5.71040153503418,8.917881414294243
0,0,2,2,random440_deear_036::2,17,False,3.217040538787842,3.688603162765503,6.890263425186276
0,0,2,3,random440_deear_036::3,22,False,3.285496234893799,5.733431577682495,9.053346585482359
0,0,3,0,random440_expressivespeech_239::0,38,False,6.233910083770752,10.317904233932495,16.542755089700222
0,0,3,1,random440_expressivespeech_239::1,32,False,4.765486001968384,7.19329833984375,11.954422818496823
0,0,3,2,random440_expressivespeech_239::2,53,False,9.56851077079773,14.401229858398438,24.087695714086294
0,0,3,3,random440_expressivespeech_239::3,44,False,6.885366439819336,14.741649627685547,21.827006842941046
0,0,4,0,random440_expressivespeech_164::0,81,False,12.553578615188599,22.253347396850586,34.788161089643836
0,0,4,1,random440_expressivespeech_164::1,68,False,10.548511981964111,17.561965942382812,28.434807505458593
0,0,4,2,random440_expressivespeech_164::2,90,False,14.040428161621094,24.298803091049194,38.329440677538514
0,0,4,3,random440_expressivespeech_164::3,98,False,17.09953236579895,30.926894426345825,48.38881557621062
0,0,5,0,random440_expressivespeech_094::0,70,False,10.775460720062256,17.932931184768677,28.697150083258748
0,0,5,1,random440_expressivespeech_094::1,61,False,9.306434392929077,16.949718475341797,26.254914175719023
0,0,5,2,random440_expressivespeech_094::2,73,False,11.14611005783081,18.743358373641968,29.878297531977296
0,0,5,3,random440_expressivespeech_094::3,86,False,13.430470705032349,36.58012390136719,49.98195957578719
0,0,6,0,random440_deear_027::0,56,False,10.448477268218994,12.703323364257812,23.13171450793743
0,0,6,1,random440_deear_027::1,49,False,9.42219352722168,12.924865484237671,22.332724122330546
0,0,6,2,random440_deear_027::2,65,False,10.169956922531128,16.77748465538025,26.9362075868994
0,0,6,3,random440_deear_027::3,54,False,8.413422107696533,27.079596281051636,35.735234681516886
0,0,7,0,random440_deear_089::0,58,False,9.462428569793701,14.778030395507812,24.21897472627461
0,0,7,1,random440_deear_089::1,67,False,10.475013256072998,18.906676769256592,29.614063465967774
0,0,7,2,random440_deear_089::2,73,False,11.207584857940674,18.60752773284912,30.071801183745265
0,0,7,3,random440_deear_089::3,72,False,11.411308288574219,27.669702768325806,39.35858418419957
0,0,8,0,random440_expressivespeech_100::0,68,False,12.582113981246948,15.280007600784302,27.843442160636187
0,0,8,1,random440_expressivespeech_100::1,65,False,13.961186647415161,14.513198614120483,28.465115694329143
0,0,8,2,random440_expressivespeech_100::2,71,False,13.303670167922974,15.983555555343628,29.277761248871684
0,0,8,3,random440_expressivespeech_100::3,58,False,11.418739557266235,14.125339031219482,25.82075185701251
0,0,9,0,random440_expressivespeech_170::0,17,False,2.8204691410064697,3.7178046703338623,6.520697120577097
0,0,9,1,random440_expressivespeech_170::1,77,False,14.031469345092773,17.523602962493896,31.54000181145966
0,0,9,2,random440_expressivespeech_170::2,15,False,4.053782939910889,5.460834503173828,9.823488289490342
0,0,9,3,random440_expressivespeech_170::3,21,False,3.1497671604156494,4.637356519699097,7.772595280781388
0,0,10,0,random440_deear_045::0,24,False,3.8962793350219727,5.30698561668396,9.185023443773389
