round,stage,seconds
0,audio_caption_quality,56.11983719840646
0,audio_caption_rollout,1927.8379237763584
0,audio_tts_anchor_reconstruction,76.72629361599684
0,audio_tts_reconstruction,86.41377996839583
0,caption_anchor_reconstruction,191.02881287783384
0,caption_audio_quality,73.53929594159126
0,caption_caption_reconstruction,209.39073492959142
0,caption_tts_rollout,4866.71107096225
0,sftcal_caption_anchor,160.07291023433208
0,sftcal_caption_current,170.5600135549903
0,sftcal_tts_anchor,86.10255813598633
0,sftcal_tts_current,95.7149062063545
0,caption_grpo,2448.798304291442
0,caption_sft,166.1414066310972
0,tts_grpo,4128.622138928622
0,tts_sft,196.2847050577402
0,caption_reload,87.54932538792491
0,tts_reload,50.08687805198133
1,audio_caption_quality,59.63821894861758
1,audio_caption_rollout,2239.786645039916
1,audio_tts_anchor_reconstruction,84.04649077542126
1,audio_tts_reconstruction,107.63755985349417
1,caption_anchor_reconstruction,200.07943070493639
1,caption_audio_quality,73.93960910104215
1,caption_caption_reconstruction,229.11052000522614
1,caption_tts_rollout,5285.18713580817
1,sftcal_caption_anchor,158.15735888667405
1,sftcal_caption_current,186.4951935298741
1,sftcal_tts_anchor,91.64165588654578
1,sftcal_tts_current,113.93649271316826
1,caption_grpo,2416.0627171117812
1,caption_sft,170.58844787627459
1,tts_grpo,4196.8116113469005
1,tts_sft,193.98996555246413
1,caption_reload,86.05859245546162
1,tts_reload,51.910302767530084
2,audio_caption_quality,64.70662054419518
2,audio_caption_rollout,2262.370061542839
2,audio_tts_anchor_reconstruction,96.32774155028164
2,audio_tts_reconstruction,114.33429664745927
2,caption_anchor_reconstruction,210.20870729535818
2,caption_audio_quality,77.28280748985708
2,caption_caption_reconstruction,225.07639444991946
2,caption_tts_rollout,5773.199259439483
2,sftcal_caption_anchor,169.48511128127575
2,sftcal_caption_current,184.45573774911463
2,sftcal_tts_anchor,186.14725712314248
2,sftcal_tts_current,196.2868793271482
2,caption_grpo,2456.7695325855166
2,caption_sft,174.74657103605568
2,tts_grpo,4152.229365710169
2,tts_sft,99.85280619561672
2,caption_reload,85.073933692649
2,tts_reload,169.52485994435847
3,audio_caption_quality,52.98189575970173
3,audio_caption_rollout,2017.2693231105804
3,audio_tts_anchor_reconstruction,75.1196353007108
3,audio_tts_reconstruction,95.90074561536312
3,caption_anchor_reconstruction,181.02495983615518
3,caption_audio_quality,69.04915380291641
3,caption_caption_reconstruction,212.31353869102895
3,caption_tts_rollout,4954.858334928751
3,sftcal_caption_anchor,152.8136517945677
3,sftcal_caption_current,169.19378072023392
3,sftcal_tts_anchor,81.44167681783438
3,sftcal_tts_current,106.15101058781147
3,caption_grpo,2246.3992091715336
3,caption_sft,151.63737067207694
3,tts_grpo,3865.157844364643
3,tts_sft,188.74710034392774
3,caption_reload,76.54401617869735
3,tts_reload,41.61775292083621
4,audio_caption_quality,53.36196215264499
4,audio_caption_rollout,2010.8438539020717
4,audio_tts_anchor_reconstruction,76.17738608829677
4,audio_tts_reconstruction,101.832096721977
4,caption_anchor_reconstruction,182.71574838645756
4,caption_audio_quality,66.26895687170327
4,caption_caption_reconstruction,208.09964219108224
4,caption_tts_rollout,4921.890758158639
4,sftcal_caption_anchor,150.53036819957197
4,sftcal_caption_current,166.30099583603442
4,sftcal_tts_anchor,79.38612847216427
4,sftcal_tts_current,100.64979246258736
4,caption_grpo,2296.065090343356
4,caption_sft,153.6053662803024
4,tts_grpo,3788.7570031248033
4,tts_sft,96.31408764235675
4,caption_reload,80.46640778146684
4,tts_reload,47.15453170053661
5,audio_caption_quality,51.64555890113115
5,audio_caption_rollout,2113.7628772072494
5,audio_tts_anchor_reconstruction,76.88650945574045
5,audio_tts_reconstruction,97.14175573922694
5,caption_anchor_reconstruction,185.67931174114347
5,caption_audio_quality,68.15302502736449
5,caption_caption_reconstruction,201.86651973985136
5,caption_tts_rollout,4787.795586178079
5,sftcal_caption_anchor,153.83224298804998
5,sftcal_caption_current,168.29549533501267
5,sftcal_tts_anchor,82.10280066356063
5,sftcal_tts_current,104.72145752608776
5,caption_grpo,2241.9544524140656
5,caption_sft,150.31732105463743
5,tts_grpo,3884.964754484594
5,tts_sft,100.86222835816443
5,caption_reload,80.68070610053837
5,tts_reload,51.90313843637705
6,audio_caption_quality,53.95574673451483
6,audio_caption_rollout,2085.688042782247
6,audio_tts_anchor_reconstruction,82.71541149169207
6,audio_tts_reconstruction,101.00301309302449
6,caption_anchor_reconstruction,195.1105114519596
6,caption_audio_quality,72.54149095155299
6,caption_caption_reconstruction,216.51878377981484
6,caption_tts_rollout,4896.53743856214
6,sftcal_caption_anchor,167.0779342483729
6,sftcal_caption_current,173.09435702115297
6,sftcal_tts_anchor,84.09169942326844
6,sftcal_tts_current,103.40081717260182
6,caption_grpo,2198.0806035976857
6,caption_sft,164.22696976736188
6,tts_grpo,3959.4510163795203
6,tts_sft,97.92236005142331
6,caption_reload,87.25164961442351
6,tts_reload,49.08525165915489
7,audio_caption_quality,54.67557273618877
7,audio_caption_rollout,2111.7008900754154
7,audio_tts_anchor_reconstruction,85.41361290961504
7,audio_tts_reconstruction,99.62427328340709
7,caption_anchor_reconstruction,190.0916278567165
7,caption_audio_quality,67.19595139101148
7,caption_caption_reconstruction,204.420194234699
7,caption_tts_rollout,4839.055899556726
7,sftcal_caption_anchor,152.3949692118913
7,sftcal_caption_current,171.41462086327374
7,sftcal_tts_anchor,85.47970652580261
7,sftcal_tts_current,105.82385923340917
7,caption_grpo,2416.13794362545
7,caption_sft,176.712729787454
7,tts_grpo,4075.841766141355
7,tts_sft,99.95874826796353
7,caption_reload,77.55159525945783
7,tts_reload,52.846228351816535
8,audio_caption_quality,52.788959791883826
8,audio_caption_rollout,2150.202907944098
8,audio_tts_anchor_reconstruction,78.63732223398983
8,audio_tts_reconstruction,101.3065332248807
8,caption_anchor_reconstruction,184.65876672416925
8,caption_audio_quality,68.67982075177133
8,caption_caption_reconstruction,214.32269998267293
8,caption_tts_rollout,4977.194308631122
8,sftcal_caption_anchor,148.52140047959983
8,sftcal_caption_current,173.0476928167045
8,sftcal_tts_anchor,82.116171810776
8,sftcal_tts_current,103.57356803119183
8,caption_grpo,2351.3705929424614
8,caption_sft,167.71048592031002
