round_index,branch,id,valid_candidates,scores,mean,span,std,top2_gap,pairwise_gap
0,audio,random440_expressivespeech_287,2,"[0.7592592592592593, 0.4666666666666667]",0.6129629629629629,0.2925925925925926,0.1462962962962963,0.2925925925925926,0.2925925925925926
0,audio,random440_expressivespeech_245,3,"[0.5777777777777777, 0.6333333333333333, 0.36666666666666664]",0.5259259259259259,0.26666666666666666,0.11487453643904312,0.05555555555555558,0.17777777777777778
0,audio,random440_expressivespeech_304,3,"[0.6666666666666666, 0.7444444444444444, 0.7666666666666667]",0.7259259259259259,0.10000000000000009,0.04287347001033419,0.022222222222222365,0.06666666666666672
0,audio,random440_expressivespeech_178,2,"[0.611111111111111, 0.74]",0.6755555555555555,0.12888888888888894,0.06444444444444447,0.12888888888888894,0.12888888888888894
0,audio,random440_deear_090,3,"[0.43333333333333335, 0.43333333333333335, 0.5666666666666667]",0.4777777777777778,0.1333333333333333,0.06285393610547088,0.1333333333333333,0.08888888888888886
0,audio,random440_expressivespeech_017,3,"[0.34320987654320984, 0.4, 0.41111111111111115]",0.38477366255144035,0.06790123456790131,0.029738027596937756,0.011111111111111127,0.04526748971193421
0,audio,random440_expressivespeech_326,3,"[0.6818181818181818, 0.5511111111111112, 0.43333333333333335]",0.5554208754208755,0.24848484848484842,0.10148927868807557,0.13070707070707055,0.1656565656565656
0,audio,random440_expressivespeech_283,3,"[0.711111111111111, 0.7, 0.8444444444444444]",0.7518518518518519,0.1444444444444445,0.06562979683951614,0.13333333333333341,0.09629629629629632
0,audio,random440_expressivespeech_004,4,"[0.5666666666666667, 0.62, 0.5666666666666667, 0.5866666666666667]",0.585,0.053333333333333344,0.021794494717703373,0.033333333333333326,0.03000000000000001
0,audio,random440_expressivespeech_192,4,"[0.17857142857142858, 0.39285714285714285, 0.4642857142857143, 0.21428571428571427]",0.3125,0.2857142857142857,0.11945614428803261,0.07142857142857145,0.1726190476190476
0,audio,random440_deear_093,1,[0.6333333333333333],,,,,
0,audio,random440_expressivespeech_079,1,[0.34736842105263155],,,,,
0,audio,random440_expressivespeech_122,2,"[0.6151515151515151, 0.8484848484848484]",0.7318181818181817,0.23333333333333328,0.11666666666666664,0.23333333333333328,0.23333333333333328
